seqid	bp	p_val	calibrated.pvalue	p.bonf
Chr6	20652277	3.634221150739367e-7	7.704787510492423e-28	0.03501899158640947
Chr4	5383224	4.246610094750953e-7	5.535525902511819e-27	0.040919910212010704
Chr5	14295930	7.151306173075095e-7	2.6568926318972686e-24	0.0689092711531343
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132
Chr14	4027533	1.4304254995191725e-6	3.870877577247352e-21	0.13783437070816795
Chr3	17249919	1.7974095547640933e-6	3.4548231169305267e-20	0.17319658728751325
Chr3	17249921	1.9090077794155597e-6	6.054698804358162e-20	0.18395008061670393
Chr2	21052752	2.646265820995996e-6	1.1318020335494115e-18	0.2549915282453532
Chr2	17207072	3.3184634590103674e-06	7.73202547703949e-18	0.31976382044678
Chr3	3479088	4.1998378157700305e-6	5.22414878786632e-17	0.40469217208978436
Chr4	5381276	5.184989071209186e-6	2.681191112376894e-16	0.49962036191264597
Chr3	19108661	5.564849676147211e-6	4.572143577062658e-16	0.5362233499438691
Chr12	16053712	6.02258349914187e-6	8.231378540736962e-16	0.5803301233938114
Chr8	23967306	6.778143237260001e-6	1.949506798840653e-15	0.6531351041991365
Chr4	5381951	1.2895013488334721e-5	1.5195862797591645e-13	1
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1
Chr11	18482363	1.619006356752351e-5	6.24932719277215e-13	1
Chr9	22642072	2.0439197598585435e-5	2.4945289031050543e-12	1
Chr4	5381215	2.1505431869038498e-5	3.346135492476422e-12	1
Chr4	5382099	2.194222170742112e-5	3.755179173889269e-12	1
